run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,target_pad,phase,timestamp,elapsed_time,node_elapsed_time,battery,battery_start,battery_drop_from_start
20260511_160545,front_50_tail_lv1_prepare,front,tail wind,Level1,drone_1,192.168.0.101,B01,1,front_1,6,1,node_segment_1,2026-05-11T16:06:05.560,20.047,0.0,73,73,0
20260511_160545,front_50_tail_lv1_prepare,front,tail wind,Level1,drone_2,192.168.0.102,B03,2,front_2,7,2,node_segment_1,2026-05-11T16:06:05.560,20.047,0.0,67,67,0
20260511_160545,front_50_tail_lv1_prepare,front,tail wind,Level1,drone_3,192.168.0.103,B05,3,front_3,8,3,node_segment_1,2026-05-11T16:06:05.560,20.047,0.0,62,62,0
20260511_160545,front_50_tail_lv1_prepare,front,tail wind,Level1,drone_4,192.168.0.106,B08,4,front_4,1,4,node_segment_1,2026-05-11T16:06:05.560,20.047,0.0,71,71,0
20260511_160545,front_50_tail_lv1_prepare,front,tail wind,Level1,drone_5,192.168.0.107,B09,5,front_5,2,5,node_segment_1,2026-05-11T16:06:05.560,20.047,0.0,70,70,0
20260511_160545,front_50_tail_lv1_prepare,front,tail wind,Level1,drone_1,192.168.0.101,B01,1,front_1,6,1,node_segment_1,2026-05-11T16:06:05.668,20.155,0.108,73,73,0
20260511_160545,front_50_tail_lv1_prepare,front,tail wind,Level1,drone_2,192.168.0.102,B03,2,front_2,7,2,node_segment_1,2026-05-11T16:06:05.668,20.155,0.108,67,67,0
20260511_160545,front_50_tail_lv1_prepare,front,tail wind,Level1,drone_3,192.168.0.103,B05,3,front_3,8,3,node_segment_1,2026-05-11T16:06:05.668,20.155,0.108,62,62,0
20260511_160545,front_50_tail_lv1_prepare,front,tail wind,Level1,drone_4,192.168.0.106,B08,4,front_4,1,4,node_segment_1,2026-05-11T16:06:05.668,20.155,0.108,71,71,0
20260511_160545,front_50_tail_lv1_prepare,front,tail wind,Level1,drone_5,192.168.0.107,B09,5,front_5,2,5,node_segment_1,2026-05-11T16:06:05.668,20.155,0.108,70,70,0
20260511_160545,front_50_tail_lv1_prepare,front,tail wind,Level1,drone_1,192.168.0.101,B01,1,front_1,6,1,node_segment_1,2026-05-11T16:06:05.774,20.262,0.215,73,73,0
20260511_160545,front_50_tail_lv1_prepare,front,tail wind,Level1,drone_2,192.168.0.102,B03,2,front_2,7,2,node_segment_1,2026-05-11T16:06:05.774,20.262,0.215,67,67,0
