run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260518_162641,front_50_tail_lv1_new_001,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_logging,2026-05-18T16:29:01.610,140.304,0.0,0.0,6,3,4,85,3,254,85,0,0,80,1,250,10,-3,-254,-5,254.067,4.86,10.44,74,74,,-101,1,2,0,0,0,82.0,-11.0,-993.0,60,64,82,70,10.87,105
20260518_162641,front_50_tail_lv1_new_001,front,tail wind,Level1,drone_2,192.168.0.109,B10,2,front_2,7,1,5,node_segment_1_of_5,2026-05-18T16:29:01.610,140.304,0.0,0.0,7,0,3,81,50,253,81,50,0,80,2,250,10,0,-253,-1,253.002,4.86,10.44,74,74,,-4,5,1,0,0,0,57.0,-45.0,-985.0,61,63,85,70,11.54,109
20260518_162641,front_50_tail_lv1_new_001,front,tail wind,Level1,drone_3,192.168.0.103,B13,3,front_3,8,2,5,node_segment_1_of_5,2026-05-18T16:29:01.610,140.304,0.0,0.0,8,0,-8,82,100,242,82,100,0,80,3,250,10,0,-242,-2,242.008,4.86,10.44,72,72,,55,2,1,0,0,0,25.0,-7.0,-998.0,58,60,80,50,11.37,61
20260518_162641,front_50_tail_lv1_new_001,front,tail wind,Level1,drone_4,192.168.0.106,B14,4,front_4,1,3,5,node_segment_1_of_5,2026-05-18T16:29:01.610,140.304,0.0,0.0,1,-5,5,85,145,255,85,150,0,80,4,250,10,5,-255,-5,255.098,4.86,10.44,75,75,,-107,5,0,0,0,0,97.0,27.0,-1012.0,56,59,84,40,12.18,93
20260518_162641,front_50_tail_lv1_new_001,front,tail wind,Level1,drone_5,192.168.0.107,B15,5,front_5,2,4,5,node_segment_1_of_5,2026-05-18T16:29:01.610,140.304,0.0,0.0,1,-8,17,87,192,217,87,200,0,80,5,250,10,8,-217,-7,217.26,4.86,10.44,70,70,,-79,1,0,0,0,0,29.0,-2.0,-1014.0,57,61,85,80,10.93,73
20260518_162641,front_50_tail_lv1_new_001,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:29:01.720,140.414,0.11,0.11,6,3,4,85,3,254,85,0,0,80,1,250,10,-3,-254,-5,254.067,4.86,10.44,74,74,,-101,2,0,0,0,0,74.0,-74.0,-989.0,60,64,82,70,10.87,105
20260518_162641,front_50_tail_lv1_new_001,front,tail wind,Level1,drone_2,192.168.0.109,B10,2,front_2,7,1,5,node_segment_1_of_5,2026-05-18T16:29:01.720,140.414,0.11,0.11,7,0,3,81,50,253,81,50,0,80,2,250,10,0,-253,-1,253.002,4.86,10.44,74,74,,-5,4,1,0,0,0,51.0,-13.0,-976.0,61,63,85,80,11.5,109
20260518_162641,front_50_tail_lv1_new_001,front,tail wind,Level1,drone_3,192.168.0.103,B13,3,front_3,8,2,5,node_segment_1_of_5,2026-05-18T16:29:01.720,140.414,0.11,0.11,8,0,-8,82,100,242,82,100,0,80,3,250,10,0,-242,-2,242.008,4.86,10.44,72,72,,54,2,2,0,0,0,65.0,-43.0,-1009.0,58,60,80,50,11.32,61
20260518_162641,front_50_tail_lv1_new_001,front,tail wind,Level1,drone_4,192.168.0.106,B14,4,front_4,1,3,5,node_segment_1_of_5,2026-05-18T16:29:01.720,140.414,0.11,0.11,1,-5,5,85,145,255,85,150,0,80,4,250,10,5,-255,-5,255.098,4.86,10.44,75,75,,-107,6,0,0,0,0,78.0,8.0,-966.0,56,59,84,40,12.25,93
20260518_162641,front_50_tail_lv1_new_001,front,tail wind,Level1,drone_5,192.168.0.107,B15,5,front_5,2,4,5,node_segment_1_of_5,2026-05-18T16:29:01.720,140.414,0.11,0.11,1,-8,17,87,192,217,87,200,0,80,5,250,10,8,-217,-7,217.26,4.86,10.44,70,70,,-79,1,0,0,0,0,33.0,-2.0,-999.0,57,61,85,80,11.02,73
